Week,Channel,Units_Sold,Revenue,Net_Sales,Spend,Clicks,Impressions,Sessions,Conversions,Profit,ROAS,CPC,Conversion_Rate,Profit_Margin
2025-01-05,Email,252,16344.9810976721,16324.9810976721,1465.4269461538688,165,1650,3454,206,14859.55415151823,11.14,8.88,5.96,91.02
2025-01-05,Google Ads,299,21256.78314402898,21226.78314402898,752.7728448113342,445,8010,3915,47,20474.010299217647,28.2,1.69,1.2,96.45
2025-01-05,Meta Ads,271,13979.245078571314,13944.245078571314,1745.4645645856665,325,4225,3445,115,12198.780513985646,7.99,5.37,3.34,87.48
2025-01-05,Organic Search,75,3983.755656000785,3973.755656000785,1845.6942669770892,263,4471,2365,103,2128.061389023696,2.15,7.02,4.36,53.55
2025-01-12,Email,64,4086.346544430486,4071.346544430486,2111.957801735168,200,4200,954,25,1959.3887426953183,1.93,10.56,2.62,48.13
2025-01-12,Google Ads,400,31163.02845439488,31118.02845439488,1485.1980104436282,485,11640,2880,50,29632.83044395125,20.95,3.06,1.74,95.23
2025-01-12,Meta Ads,297,18161.080211005534,18101.080211005534,2111.051827152114,293,6446,2347,135,15990.02838385342,8.57,7.2,5.75,88.34
2025-01-12,Organic Search,208,14244.550188598436,14224.550188598436,831.8020487415724,458,7786,2069,29,13392.748139856863,17.1,1.82,1.4,94.15
2025-01-19,Email,112,7826.940110894226,7801.940110894226,2100.4126953671584,413,8673,1070,43,5701.527415527067,3.71,5.09,4.02,73.08
2025-01-19,Google Ads,167,10473.677778141284,10428.677778141284,1225.507200798304,209,4807,2582,55,9203.17057734298,8.51,5.86,2.13,88.25
2025-01-19,Meta Ads,289,18771.67310353124,18731.67310353124,2179.6407044069765,315,7245,1546,25,16552.032399124262,8.59,6.92,1.62,88.36
2025-01-19,Organic Search,232,14822.447157363878,14762.447157363878,801.3749740016676,135,2970,2310,67,13961.07218336221,18.42,5.94,2.9,94.57
2025-01-26,Email,72,5476.846544674695,5471.846544674695,2084.3823896033523,263,3419,1221,25,3387.4641550713427,2.63,7.93,2.05,61.91
2025-01-26,Google Ads,440,33945.526632009365,33865.526632009365,1086.7068428820198,305,7320,1073,42,32778.819789127345,31.16,3.56,3.91,96.79
2025-01-26,Meta Ads,322,23662.538311340166,23627.538311340166,1895.66557101034,455,7735,2506,82,21731.872740329825,12.46,4.17,3.27,91.98
2025-01-26,Organic Search,141,8178.782393677352,8153.782393677352,2391.8492880641734,294,4704,3211,39,5761.933105613179,3.41,8.14,1.21,70.67
2025-02-02,Email,120,8552.976508033571,8542.976508033571,755.5493055799809,330,7920,1680,59,7787.42720245359,11.31,2.29,3.51,91.16
2025-02-02,Google Ads,276,14411.97649404531,14361.97649404531,502.2241883923748,222,4440,3225,103,13859.752305652935,28.6,2.26,3.19,96.5
2025-02-02,Meta Ads,151,11680.253629222574,11660.253629222574,2348.5741415893226,248,4216,1690,66,9311.679487633251,4.96,9.47,3.91,79.86
2025-02-02,Organic Search,198,11864.832514560627,11849.832514560627,584.9398185130663,495,4950,2807,105,11264.89269604756,20.26,1.18,3.74,95.06
2025-02-09,Email,142,6855.963129271663,6830.963129271663,688.837795320962,268,4020,3956,121,6142.125333950701,9.92,2.57,3.06,89.92
2025-02-09,Google Ads,323,23954.874084256473,23904.874084256473,1830.1119780132624,241,5302,1182,49,22074.76210624321,13.06,7.59,4.15,92.34
2025-02-09,Meta Ads,197,15061.118911133959,15036.118911133959,1185.4618508558142,387,9288,3896,125,13850.657060278145,12.68,3.06,3.21,92.12
2025-02-09,Organic Search,154,13038.57917928688,13028.57917928688,2336.795084163116,197,2758,943,50,10691.784095123765,5.58,11.86,5.3,82.06
2025-02-16,Email,101,8450.350212958376,8435.350212958376,736.4372445821772,452,6328,1232,47,7698.9129683761985,11.45,1.63,3.81,91.27
2025-02-16,Google Ads,271,17259.851903461073,17209.851903461073,706.8682297209667,471,7536,2502,100,16502.983673740106,24.35,1.5,4.0,95.89
2025-02-16,Meta Ads,383,25726.47205841506,25691.47205841506,1957.8784002103143,478,10994,1019,10,23733.593658204747,13.12,4.1,0.98,92.38
2025-02-16,Organic Search,270,17285.10050111195,17275.10050111195,1924.27409176121,372,7812,1228,62,15350.826409350739,8.98,5.17,5.05,88.86
2025-02-23,Email,336,23256.370637175238,23201.370637175238,2147.212841596379,232,4176,2153,79,21054.15779557886,10.81,9.26,3.67,90.75
2025-02-23,Google Ads,334,19928.009497629253,19903.009497629253,1008.9626632365204,289,4624,3574,176,18894.04683439273,19.73,3.49,4.92,94.93
2025-02-23,Meta Ads,194,16871.52710800541,16856.52710800541,2130.55266218112,496,9920,3924,141,14725.974445824291,7.91,4.3,3.59,87.36
2025-02-23,Organic Search,124,6919.3216899328145,6914.3216899328145,1606.223942116743,194,2910,1689,23,5308.097747816071,4.3,8.28,1.36,76.77
2025-03-02,Email,133,9948.853350791713,9908.853350791713,1460.0947546201712,442,8840,3195,70,8448.758596171541,6.79,3.3,2.19,85.26
2025-03-02,Google Ads,348,17660.06741582868,17605.06741582868,1832.535722958077,424,8904,1724,18,15772.531692870602,9.61,4.32,1.04,89.59
2025-03-02,Meta Ads,248,15829.331248605358,15794.331248605358,951.4554476782548,171,2736,2210,42,14842.875800927104,16.6,5.56,1.9,93.98
2025-03-02,Organic Search,254,15001.680493144082,14971.680493144082,2159.445732643249,153,2601,834,10,12812.234760500833,6.93,14.11,1.2,85.58
2025-03-09,Email,137,12322.454961432604,12317.454961432604,1427.6284994553598,482,9158,2969,51,10889.826461977245,8.63,2.96,1.72,88.41
2025-03-09,Google Ads,292,19492.452585841504,19467.452585841504,1309.450127659317,153,2907,3470,183,18158.002458182185,14.87,8.56,5.27,93.27
2025-03-09,Meta Ads,138,9131.320069381574,9111.320069381574,631.623521381153,119,2737,3938,114,8479.696548000422,14.43,5.31,2.89,93.07
2025-03-09,Organic Search,172,11121.712112727451,11096.712112727451,1452.9225424787992,228,2280,2723,28,9643.789570248653,7.64,6.37,1.03,86.91
2025-03-16,Email,207,13572.632796933816,13542.632796933816,1229.341352468673,287,3444,2856,108,12313.291444465143,11.02,4.28,3.78,90.92
2025-03-16,Google Ads,395,23479.50436320348,23444.50436320348,1478.07155061524,439,6585,1250,16,21966.43281258824,15.86,3.37,1.28,93.7
2025-03-16,Meta Ads,167,10359.062910420806,10344.062910420806,1684.6027421241913,211,2532,3887,148,8659.460168296615,6.14,7.98,3.81,83.71
2025-03-16,Organic Search,224,17199.20319143743,17169.20319143743,1833.2341697587449,463,9723,1816,101,15335.969021678686,9.37,3.96,5.56,89.32
2025-03-23,Email,229,18077.91750756579,18042.91750756579,2489.3683303929743,272,5440,2820,91,15553.549177172818,7.25,9.15,3.23,86.2
2025-03-23,Google Ads,389,33408.40332471524,33368.40332471524,1645.2857062311691,375,6750,1638,19,31723.11761848407,20.28,4.39,1.16,95.07
2025-03-23,Meta Ads,205,13408.526013852406,13363.526013852406,2108.191339267186,342,5130,2613,96,11255.334674585221,6.34,6.16,3.67,84.22
2025-03-23,Organic Search,75,5422.920603864651,5402.920603864651,873.2798795953652,287,5166,3113,178,4529.640724269286,6.19,3.04,5.72,83.84
2025-03-30,Email,327,25225.739903109465,25210.739903109465,892.4914334123313,299,5681,2523,40,24318.248469697133,28.25,2.98,1.59,96.46
2025-03-30,Google Ads,321,15525.779201906122,15490.779201906122,1069.0827713538674,151,3624,2445,79,14421.696430552254,14.49,7.08,3.23,93.1
