Date,Product_ID,Category,Units_Sold,Unit_Price,Discount,Channel
2025-01-05,P115,Home Decor,25,31.381957246455833,0,Email
2025-01-05,P111,Home Decor,40,30.00101588180378,5,Meta Ads
2025-01-05,P102,Home Decor,34,37.295606621218994,0,Email
2025-01-05,P101,Home Decor,26,15.741962048070327,0,Meta Ads
2025-01-05,P110,Home Decor,20,39.44099074518195,0,Google Ads
2025-01-05,P119,Home Decor,7,105.29374270731365,5,Meta Ads
2025-01-05,P109,Home Decor,8,113.93118434690955,0,Google Ads
2025-01-05,P109,Home Decor,6,86.84446778377648,0,Google Ads
2025-01-05,P108,Kitchen,18,56.06136379519028,0,Google Ads
2025-01-05,P104,Kitchen,10,36.83387460115983,0,Meta Ads
2025-01-05,P118,Kitchen,38,56.49077478019051,10,Email
2025-01-05,P116,Kitchen,18,35.578200554010245,0,Meta Ads
2025-01-05,P108,Kitchen,49,43.491648336259075,10,Organic Search
2025-01-05,P113,Kitchen,19,32.353028601615264,0,Google Ads
2025-01-05,P109,Kitchen,48,45.816258345394004,0,Email
2025-01-05,P119,Kitchen,39,97.96843175577659,5,Email
2025-01-05,P107,Outdoor,32,105.62585971693731,5,Email
2025-01-05,P102,Outdoor,27,85.22833152967877,5,Google Ads
2025-01-05,P112,Outdoor,31,73.93055971400862,0,Email
2025-01-05,P115,Outdoor,5,90.78159972231168,0,Email
2025-01-05,P114,Outdoor,13,89.61960341700768,0,Meta Ads
2025-01-05,P113,Outdoor,36,81.82309318269694,0,Google Ads
2025-01-05,P105,Electronics,49,71.68331458667568,0,Google Ads
2025-01-05,P113,Electronics,26,107.44912309660207,5,Google Ads
2025-01-05,P106,Electronics,48,34.58985618303376,10,Meta Ads
2025-01-05,P111,Electronics,32,52.41127299808237,10,Meta Ads
2025-01-05,P101,Electronics,17,105.37671124191606,0,Google Ads
2025-01-05,P108,Electronics,41,87.70578345347839,0,Meta Ads
2025-01-05,P115,Electronics,36,69.47301528305344,5,Google Ads
2025-01-05,P117,Electronics,16,41.43714106166324,0,Google Ads
2025-01-05,P105,Furniture,21,43.012006498904924,15,Google Ads
2025-01-05,P105,Furniture,5,40.153998520032104,0,Meta Ads
2025-01-05,P112,Furniture,10,40.41580350870754,5,Meta Ads
2025-01-05,P111,Furniture,21,91.46271660424526,0,Meta Ads
2025-01-05,P120,Furniture,26,71.25634182784964,0,Organic Search
2025-01-12,P109,Home Decor,10,88.0603447130426,10,Meta Ads
2025-01-12,P104,Home Decor,7,99.99760984467012,0,Google Ads
2025-01-12,P107,Home Decor,37,56.74506221418984,0,Google Ads
2025-01-12,P108,Home Decor,32,92.19769252028107,0,Google Ads
2025-01-12,P110,Home Decor,20,100.80833102112766,0,Google Ads
2025-01-12,P117,Kitchen,16,73.62081262874526,10,Google Ads
2025-01-12,P109,Kitchen,23,91.22534628137514,10,Google Ads
2025-01-12,P101,Kitchen,15,113.24167439319949,5,Email
2025-01-12,P108,Kitchen,39,54.089690488983024,10,Email
2025-01-12,P118,Kitchen,22,65.98944412655379,0,Google Ads
2025-01-12,P109,Kitchen,8,39.91115418716401,0,Google Ads
2025-01-12,P120,Kitchen,12,104.16845810188869,5,Meta Ads
2025-01-12,P101,Kitchen,26,42.84624860658117,0,Meta Ads
2025-01-12,P119,Outdoor,31,60.61140837859501,0,Organic Search
2025-01-12,P101,Outdoor,37,35.50051371879467,5,Meta Ads
2025-01-12,P119,Outdoor,21,119.42780363372081,0,Meta Ads
2025-01-12,P114,Outdoor,39,93.51047125922847,15,Organic Search
2025-01-12,P117,Outdoor,35,116.18009759437155,10,Meta Ads
2025-01-12,P101,Outdoor,22,73.46413255812676,10,Meta Ads
2025-01-12,P103,Outdoor,28,36.93646534961282,5,Meta Ads
2025-01-12,P102,Outdoor,46,107.12417255243533,5,Google Ads
2025-01-12,P101,Outdoor,43,45.827143647771805,10,Google Ads
2025-01-12,P118,Electronics,17,23.56738894202524,0,Organic Search
2025-01-12,P104,Electronics,5,22.448796284992405,0,Email
2025-01-12,P114,Electronics,27,17.899761046738995,0,Organic Search
2025-01-12,P119,Electronics,26,77.03749235974612,0,Meta Ads
2025-01-12,P120,Electronics,19,52.8200173481826,0,Google Ads
2025-01-12,P101,Electronics,48,116.35144219103083,0,Organic Search
2025-01-12,P106,Electronics,34,71.76668776906118,5,Google Ads
2025-01-12,P116,Furniture,46,48.91042965883083,5,Organic Search
2025-01-12,P119,Furniture,30,17.661828058623037,15,Meta Ads
2025-01-12,P109,Furniture,5,33.19590360743881,0,Email
2025-01-12,P102,Furniture,29,84.32072455536178,0,Google Ads
2025-01-12,P116,Furniture,9,79.23067835460698,0,Meta Ads
2025-01-12,P112,Furniture,41,27.61728801959243,0,Meta Ads
2025-01-12,P105,Furniture,34,104.82336132115576,5,Google Ads
2025-01-12,P112,Furniture,30,66.6196668872674,0,Google Ads
2025-01-19,P105,Home Decor,14,114.66030181709553,10,Meta Ads
2025-01-19,P120,Home Decor,23,67.82930715090922,10,Meta Ads
2025-01-19,P105,Home Decor,20,22.409718477045132,5,Email
2025-01-19,P117,Home Decor,36,113.72417534962055,0,Organic Search
2025-01-19,P118,Home Decor,37,63.116553501609246,0,Meta Ads
2025-01-19,P112,Kitchen,37,83.40590104506774,0,Meta Ads
2025-01-19,P113,Kitchen,6,19.09112889257453,5,Google Ads
2025-01-19,P117,Kitchen,33,103.71190765179273,0,Email
2025-01-19,P102,Kitchen,11,27.40730690027391,5,Google Ads
2025-01-19,P113,Kitchen,40,58.88433333013577,15,Organic Search
2025-01-19,P104,Kitchen,13,74.69462979374563,0,Google Ads
2025-01-19,P103,Kitchen,22,41.25172716769099,0,Meta Ads
2025-01-19,P105,Kitchen,17,92.69041984697432,0,Google Ads
2025-01-19,P117,Kitchen,24,101.77803394131287,0,Meta Ads
2025-01-19,P119,Outdoor,16,115.64685717273582,10,Meta Ads
2025-01-19,P109,Outdoor,18,86.06083996455185,0,Meta Ads
2025-01-19,P115,Outdoor,9,45.78713102829678,0,Google Ads
2025-01-19,P104,Outdoor,20,97.90990499342816,0,Organic Search
2025-01-19,P110,Outdoor,18,72.70053264399223,0,Organic Search
2025-01-19,P111,Outdoor,16,87.2431510683791,10,Email
2025-01-19,P117,Outdoor,11,59.73960487992882,0,Google Ads
2025-01-19,P118,Electronics,6,23.541621967399475,0,Organic Search
2025-01-19,P119,Electronics,49,53.91742544202354,10,Meta Ads
2025-01-19,P107,Electronics,8,51.77291590353292,5,Organic Search
2025-01-19,P119,Electronics,43,59.54331097093251,10,Email
2025-01-19,P107,Electronics,49,16.192132700579002,0,Meta Ads
2025-01-19,P120,Furniture,45,93.14222397904628,5,Google Ads
2025-01-19,P117,Furniture,37,38.47756304454253,15,Google Ads
2025-01-19,P112,Furniture,49,19.531790754810494,10,Organic Search
2025-01-19,P111,Furniture,40,73.15469986213868,15,Organic Search
2025-01-19,P118,Furniture,18,45.92186441814013,15,Google Ads
2025-01-19,P103,Furniture,15,44.50113490718418,15,Organic Search
2025-01-26,P108,Home Decor,40,63.688332518698125,0,Google Ads
2025-01-26,P118,Home Decor,41,117.31145480494749,15,Google Ads
2025-01-26,P117,Home Decor,24,78.29209761244636,0,Google Ads
2025-01-26,P113,Home Decor,10,114.72899089565202,5,Organic Search
2025-01-26,P115,Home Decor,14,112.9364907521714,10,Organic Search
2025-01-26,P113,Home Decor,37,96.64823979219868,0,Google Ads
