Week,Source,Sessions,Conversions
2025-01-05,Google Ads,3915,47
2025-01-05,Meta Ads,3445,115
2025-01-05,Email,3454,206
2025-01-05,Organic Search,2365,103
2025-01-12,Google Ads,2880,50
2025-01-12,Meta Ads,2347,135
2025-01-12,Email,954,25
2025-01-12,Organic Search,2069,29
2025-01-19,Google Ads,2582,55
2025-01-19,Meta Ads,1546,25
2025-01-19,Email,1070,43
2025-01-19,Organic Search,2310,67
2025-01-26,Google Ads,1073,42
2025-01-26,Meta Ads,2506,82
2025-01-26,Email,1221,25
2025-01-26,Organic Search,3211,39
2025-02-02,Google Ads,3225,103
2025-02-02,Meta Ads,1690,66
2025-02-02,Email,1680,59
2025-02-02,Organic Search,2807,105
2025-02-09,Google Ads,1182,49
2025-02-09,Meta Ads,3896,125
2025-02-09,Email,3956,121
2025-02-09,Organic Search,943,50
2025-02-16,Google Ads,2502,100
2025-02-16,Meta Ads,1019,10
2025-02-16,Email,1232,47
2025-02-16,Organic Search,1228,62
2025-02-23,Google Ads,3574,176
2025-02-23,Meta Ads,3924,141
2025-02-23,Email,2153,79
2025-02-23,Organic Search,1689,23
2025-03-02,Google Ads,1724,18
2025-03-02,Meta Ads,2210,42
2025-03-02,Email,3195,70
2025-03-02,Organic Search,834,10
2025-03-09,Google Ads,3470,183
2025-03-09,Meta Ads,3938,114
2025-03-09,Email,2969,51
2025-03-09,Organic Search,2723,28
2025-03-16,Google Ads,1250,16
2025-03-16,Meta Ads,3887,148
2025-03-16,Email,2856,108
2025-03-16,Organic Search,1816,101
2025-03-23,Google Ads,1638,19
2025-03-23,Meta Ads,2613,96
2025-03-23,Email,2820,91
2025-03-23,Organic Search,3113,178
2025-03-30,Google Ads,2445,79
2025-03-30,Meta Ads,1105,20
2025-03-30,Email,2523,40
2025-03-30,Organic Search,2191,96
2025-04-06,Google Ads,1219,34
2025-04-06,Meta Ads,3018,134
2025-04-06,Email,3812,218
2025-04-06,Organic Search,2353,132
2025-04-13,Google Ads,2669,64
2025-04-13,Meta Ads,2142,93
2025-04-13,Email,3026,80
2025-04-13,Organic Search,2495,86
2025-04-20,Google Ads,3079,131
2025-04-20,Meta Ads,3579,95
2025-04-20,Email,1613,95
2025-04-20,Organic Search,2831,163
2025-04-27,Google Ads,1703,63
2025-04-27,Meta Ads,2615,67
2025-04-27,Email,3453,119
2025-04-27,Organic Search,947,17
2025-05-04,Google Ads,1166,23
2025-05-04,Meta Ads,2838,44
2025-05-04,Email,974,54
2025-05-04,Organic Search,1294,41
2025-05-11,Google Ads,3982,109
2025-05-11,Meta Ads,1970,117
2025-05-11,Email,2132,94
2025-05-11,Organic Search,1837,94
2025-05-18,Google Ads,2251,77
2025-05-18,Meta Ads,1504,45
2025-05-18,Email,3734,151
2025-05-18,Organic Search,2673,135
2025-05-25,Google Ads,2683,124
2025-05-25,Meta Ads,2112,109
2025-05-25,Email,3738,50
2025-05-25,Organic Search,3997,51
2025-06-01,Google Ads,3257,177
2025-06-01,Meta Ads,926,28
2025-06-01,Email,3439,150
2025-06-01,Organic Search,2166,83
2025-06-08,Google Ads,3509,58
2025-06-08,Meta Ads,1218,36
2025-06-08,Email,3687,66
2025-06-08,Organic Search,3061,165
2025-06-15,Google Ads,2567,42
2025-06-15,Meta Ads,2912,80
2025-06-15,Email,1426,61
2025-06-15,Organic Search,3786,170
2025-06-22,Google Ads,2175,60
2025-06-22,Meta Ads,1290,35
2025-06-22,Email,2740,92
2025-06-22,Organic Search,1718,44
2025-06-29,Google Ads,3787,77
2025-06-29,Meta Ads,2126,23
2025-06-29,Email,1481,49
2025-06-29,Organic Search,2255,86
